name,logt,logt_erl,logt_erh,B,B_erl,B_erh,t_sec,t_90
bn081009140,0.232644796,0.406777024,0,0.050951809,2.78E-17,0.445523763,8,41.345
bn081215784,0.90185441,1.512096528,0.229853108,0.00252636,0.000926361,0.123611847,7,5.568
bn090131090,0.055092951,0.197297517,0.979083532,0.106868642,0.098703879,0.269206085,36.5,35.073
bn090228204,0.469351601,0.944171951,0.115184381,1.493468381,1.147033509,0.004676932,0.5,0.448
bn090424592,-0.481818245,0.785622275,0.418259375,0.031050648,0.019113494,1.119584414,9.5,14.144
bn090618353,1.313684816,0.815453003,0.03298532,0.015193731,0.002491905,0.160553793,84,112.386
bn090626189,0.411551983,0.639380741,0.275886754,0.028314085,0.014258163,0.309091776,47.5,48.897
bn090820027,0.113542687,0.059125769,0.712607133,0.218726472,0.197846606,0.283973583,13.5,12.416
bn090829672,-0.177312327,0.244271912,1.483334255,0.576227332,0.573264719,0.921604555,63,67.585
bn090902462,0.70690414,2.201256337,0,-0.002775298,0.19061079,0,24.5,19.328
bn090926181,1.1978282,0.689040373,0.062444025,0.006792421,0.001236368,0.029735394,16.5,13.76
bn091010113,0.106682419,0.585873331,0.009981095,0.022798384,0.002908406,0.103037903,8,5.952
bn091127976,0.447177032,0.381031657,0.042469271,1.498889426,0.425227679,0.000986354,9.5,8.701
bn100122616,-0.918676354,0.120934911,1.715698111,-0.198095816,0.001463233,0.191119866,7,22.529
bn100701490,0.185118627,1.038270132,0.73377167,1.330102603,1.327486531,0.169302782,4,22.016
bn100707032,1.472482129,0.395075542,0.013560153,0.014777798,0.001241388,0.024861043,22.5,81.793
bn100719989,0.016089542,0.057049735,1.111617867,0.217779637,0.210095109,0.253633115,5.5,21.824
bn100829876,-0.474991476,0.234600308,0.833099052,0.576969344,0.512841042,0.921783968,9,8.704
bn101014175,0.418203395,0.845432444,0.09382758,0.013663318,0.002732362,0.142738777,36.5,449.415
bn101123952,0.024051621,0.755208264,0.816473795,0.03726571,0.033362295,1.452643223,16.5,103.938
bn110301214,0.004278547,0.097077654,0.180653317,0.537808546,0.234516156,0.25577943,8.5,5.693
bn110625881,1.190979483,1.152391102,0,0.00541313,7.20E-06,0.113562811,30.5,26.881
bn110825102,0.217736983,0.997146348,0.129010415,1.459319948,1.288277999,0.03847916,8,62.465
bn110903009,1.179876648,1.187639443,0.016301096,0.006262274,0,0.143188675,24.5,27.133
bn110909116,1.468346621,2.967803563,0.021914636,1.206096621,1.384853431,0.290934167,3.28,20.736
bn120129580,0.042536259,0.81320921,0.311243158,0.02055577,0.008323477,0.548662501,5,3.072
bn120323507,-0.968995759,0.128493893,0.266418145,0.603393491,0.223490405,0.344506161,1,0.384
